"Веса (events, search, view, click, cart)",STD (Меньше = Лучше),n_cart Change %,reached_cart Change %
"1, 3, 1, 1, 3",0.009546588368477821,-22.727347866755913,-1.3648663784495951
"2, 3, 2, 2, 2",0.00956102935945654,-22.330432698377994,-1.365106180531177
"3, 3, 1, 3, 1",0.009564509064769043,-22.37569623236168,-1.365053552444773
"3, 1, 2, 1, 2",0.009575494972016525,-22.240837429884227,-1.3648810234279114
"2, 2, 2, 3, 1",0.009580059007792626,-22.195713717380563,-1.3651441634263568
"2, 2, 3, 3, 2",0.009588836443410725,-22.168748877973655,-1.3650389073053915
"3, 1, 1, 3, 3",0.00960598698155877,-22.42588388954697,-1.3653400307608448
"3, 1, 1, 2, 2",0.009639876707781544,-22.354379683459452,-1.3650389073053915
"2, 3, 2, 2, 1",0.009650037355550537,-22.256345300882685,-1.365106180531177
"2, 1, 3, 3, 1",0.009657558872032965,-22.05433673011237,-1.3648197025055346
"3, 3, 3, 3, 1",0.009680192417458789,-22.167122977804773,-1.364986279305692
"2, 2, 3, 1, 1",0.009708597244706742,-22.106170751331202,-1.3647290915588388
"3, 2, 2, 3, 1",0.00970921148416924,-22.218859123513102,-1.3652494197094718
"2, 1, 2, 1, 3",0.009760816707191406,-22.30928712468278,-1.3652874025641208
"1, 2, 3, 1, 1",0.00988142508129874,-22.06999079699211,-1.3646764636581872
